prod_id,order_quantity,time,prod_name,prod_price
8048,102,2021/02/02 5:13,prod08048,507254
5588,191,2021/02/02 7:11,prod05588,117339
3668,68,2021/02/02 7:55,prod03668,70629
1431,23,2021/02/02 8:47,prod01431,135988
8025,102,2021/02/02 10:25,prod08025,808286
9445,196,2021/02/02 11:10,prod09445,908793
6663,187,2021/02/02 12:51,prod06663,305713
9799,53,2021/02/02 13:23,prod09799,108591
8438,50,2021/02/02 13:25,prod08438,376401
5434,88,2021/02/02 14:30,prod05434,890642
3598,13,2021/02/02 15:30,prod03598,66770
5505,167,2021/02/02 17:10,prod05505,217312
7750,156,2021/02/02 18:12,prod07750,695027
5065,37,2021/02/02 18:41,prod05065,599446
5751,33,2021/02/02 19:20,prod05751,504417
6887,131,2021/02/02 20:10,prod06887,219627
1295,190,2021/02/02 21:52,prod01295,477010
1474,56,2021/02/02 23:51,prod01474,925746
6727,18,2021/02/03 1:48,prod06727,774721
3340,11,2021/02/03 3:23,prod03340,616287
3924,61,2021/02/03 5:01,prod03924,966537
6747,177,2021/02/03 6:08,prod06747,537378
7602,85,2021/02/03 7:59,prod07602,252037
9354,186,2021/02/03 8:47,prod09354,434772
5330,61,2021/02/03 9:54,prod05330,29118
5771,61,2021/02/03 10:36,prod05771,385675
9555,177,2021/02/03 12:01,prod09555,381735
3378,54,2021/02/03 12:33,prod03378,314588
5623,159,2021/02/03 13:01,prod05623,825616
2257,123,2021/02/03 14:01,prod02257,817543
6534,178,2021/02/03 14:30,prod06534,614416
8948,104,2021/02/03 15:43,prod08948,357892
4708,93,2021/02/03 16:22,prod04708,327209
8560,169,2021/02/03 17:02,prod08560,249180
5409,166,2021/11/07 2:12,prod05409,954276
3271,69,2021/11/07 2:38,prod03271,187804
9101,11,2021/11/07 3:08,prod09101,611891
9376,21,2021/11/07 4:19,prod09376,113901
6636,126,2021/11/07 4:26,prod06636,586669
6259,16,2021/11/07 4:48,prod06259,941744
6114,116,2021/11/07 6:29,prod06114,803687
4047,138,2021/11/07 6:38,prod04047,726706
9855,137,2021/11/07 8:27,prod09855,664969
8624,148,2021/11/07 9:35,prod08624,149254
2400,149,2021/11/07 10:57,prod02400,832470
7454,86,2021/11/07 11:39,prod07454,655815
5117,91,2021/11/07 11:46,prod05117,160857
8159,183,2021/11/07 11:59,prod08159,585330
9104,199,2021/11/07 13:12,prod09104,53672
2997,78,2021/11/07 13:43,prod02997,87182
6130,155,2021/11/07 15:15,prod06130,342585
3843,157,2021/11/07 16:35,prod03843,514330
9183,61,2021/11/07 16:57,prod09183,260086
3998,29,2021/11/07 18:00,prod03998,521484
9842,108,2021/11/07 18:50,prod09842,109646
9795,79,2021/11/07 19:03,prod09795,32738
1909,110,2021/11/07 20:56,prod01909,560719
6972,50,2021/11/07 21:06,prod06972,77640
6582,12,2021/11/07 21:10,prod06582,225378
9286,24,2021/11/07 21:18,prod09286,649802
3953,105,2021/11/07 21:38,prod03953,207253
5225,170,2021/11/07 21:52,prod05225,702561
8529,120,2021/11/07 22:15,prod08529,327572
6202,98,2021/11/07 23:24,prod06202,323657
3904,52,2021/11/08 0:58,prod03904,739148
1649,164,2021/11/08 2:43,prod01649,22146
7138,120,2021/11/08 4:22,prod07138,218146
7357,5,2021/11/08 4:29,prod07357,649841
8541,189,2021/11/08 5:06,prod08541,58941
7489,78,2021/11/08 7:01,prod07489,93531
8095,46,2021/11/08 8:50,prod08095,687887
2348,186,2021/11/08 10:29,prod02348,915635
4340,126,2021/11/08 10:34,prod04340,192832
2258,96,2021/11/08 10:50,prod02258,58887
