prod_id,order_quantity,time
8048,102,2021/02/02 5:13
5588,191,2021/02/02 7:11
3668,68,2021/02/02 7:55
1431,23,2021/02/02 8:47
8025,102,2021/02/02 10:25
9445,196,2021/02/02 11:10
6663,187,2021/02/02 12:51
9799,53,2021/02/02 13:23
8438,50,2021/02/02 13:25
5434,88,2021/02/02 14:30
3598,13,2021/02/02 15:30
5505,167,2021/02/02 17:10
7750,156,2021/02/02 18:12
5065,37,2021/02/02 18:41
5751,33,2021/02/02 19:20
6887,131,2021/02/02 20:10
1295,190,2021/02/02 21:52
1474,56,2021/02/02 23:51
6727,18,2021/02/03 1:48
3340,11,2021/02/03 3:23
3924,61,2021/02/03 5:01
6747,177,2021/02/03 6:08
7602,85,2021/02/03 7:59
9354,186,2021/02/03 8:47
5330,61,2021/02/03 9:54
5771,61,2021/02/03 10:36
9555,177,2021/02/03 12:01
3378,54,2021/02/03 12:33
5623,159,2021/02/03 13:01
2257,123,2021/02/03 14:01
6534,178,2021/02/03 14:30
8948,104,2021/02/03 15:43
4708,93,2021/02/03 16:22
8560,169,2021/02/03 17:02
5409,166,2021/11/07 2:12
3271,69,2021/11/07 2:38
9101,11,2021/11/07 3:08
9376,21,2021/11/07 4:19
6636,126,2021/11/07 4:26
6259,16,2021/11/07 4:48
6114,116,2021/11/07 6:29
4047,138,2021/11/07 6:38
9855,137,2021/11/07 8:27
8624,148,2021/11/07 9:35
2400,149,2021/11/07 10:57
7454,86,2021/11/07 11:39
5117,91,2021/11/07 11:46
8159,183,2021/11/07 11:59
9104,199,2021/11/07 13:12
2997,78,2021/11/07 13:43
6130,155,2021/11/07 15:15
3843,157,2021/11/07 16:35
9183,61,2021/11/07 16:57
3998,29,2021/11/07 18:00
9842,108,2021/11/07 18:50
9795,79,2021/11/07 19:03
1909,110,2021/11/07 20:56
6972,50,2021/11/07 21:06
6582,12,2021/11/07 21:10
9286,24,2021/11/07 21:18
3953,105,2021/11/07 21:38
5225,170,2021/11/07 21:52
8529,120,2021/11/07 22:15
6202,98,2021/11/07 23:24
3904,52,2021/11/08 0:58
1649,164,2021/11/08 2:43
7138,120,2021/11/08 4:22
7357,5,2021/11/08 4:29
8541,189,2021/11/08 5:06
7489,78,2021/11/08 7:01
8095,46,2021/11/08 8:50
2348,186,2021/11/08 10:29
4340,126,2021/11/08 10:34
2258,96,2021/11/08 10:50
5627,5,2021/11/08 11:22
1364,74,2021/11/08 13:18
5027,20,2021/11/08 15:04
7977,19,2021/11/08 16:16
7012,192,2021/11/08 17:44
5408,80,2021/11/08 18:23
3881,7,2021/11/08 19:55
3555,19,2021/11/08 20:39
7719,59,2021/11/08 21:49
1208,1,2021/11/08 23:46
4737,82,2021/11/08 23:59
9218,156,2021/11/09 0:58
4373,182,2021/11/09 2:01
8047,120,2021/11/09 3:01
4214,47,2021/11/09 4:21
1611,164,2021/11/09 5:58
7661,137,2021/11/09 7:53
9392,200,2021/11/09 9:38
2615,81,2021/11/09 10:24
2171,55,2021/11/09 11:45
1951,111,2021/11/09 12:47
6071,66,2021/11/09 13:43
3713,92,2021/11/09 15:36
5639,18,2021/11/09 17:28
6369,33,2021/11/09 19:09
5346,153,2021/11/09 20:46
4716,140,2021/11/09 21:35
1296,114,2021/11/09 23:20
8821,178,2021/11/10 0:23
2419,88,2021/11/10 0:38
7553,107,2021/11/10 0:57
7172,182,2021/11/10 1:17
6338,62,2021/11/10 2:33
7101,64,2021/11/10 3:06
3605,95,2021/11/10 3:07
6375,173,2021/11/10 3:53
1865,110,2021/11/10 5:01
7595,148,2021/11/10 5:30
5697,113,2021/11/10 6:14
8374,55,2021/11/10 7:34
3033,113,2021/11/10 8:03
2878,134,2021/11/10 8:34
8342,119,2021/11/10 10:01
9922,154,2021/11/10 11:22
6903,68,2021/11/10 11:26
9595,81,2021/11/10 13:07
6078,178,2021/11/10 14:37
1081,46,2021/11/10 15:11
5170,13,2021/11/10 16:30
3025,172,2021/11/10 17:18
7365,63,2021/11/10 17:58
5235,92,2021/11/10 19:06
4071,178,2021/11/10 19:29
1101,10,2021/11/10 21:19
4732,115,2021/06/08 10:59
2911,123,2021/06/08 11:50
7582,22,2021/06/08 12:43
3938,130,2021/06/08 14:21
1683,120,2021/06/08 15:38
7848,18,2021/06/08 15:43
5928,154,2021/06/08 17:06
9442,177,2021/06/08 18:06
